ano,uf_code,faixa,populacao,uf_sigla,regiao
2014,11,menor_1_ano,24664,RO,Norte
2014,11,1_a_4_anos,100541,RO,Norte
2015,11,menor_1_ano,23794,RO,Norte
2015,11,1_a_4_anos,94273,RO,Norte
2016,11,menor_1_ano,22604,RO,Norte
2016,11,1_a_4_anos,92589,RO,Norte
2017,11,menor_1_ano,22234,RO,Norte
2017,11,1_a_4_anos,95083,RO,Norte
2018,11,menor_1_ano,21471,RO,Norte
2018,11,1_a_4_anos,86407,RO,Norte
2019,11,menor_1_ano,20399,RO,Norte
2019,11,1_a_4_anos,81168,RO,Norte
2020,11,menor_1_ano,19666,RO,Norte
2020,11,1_a_4_anos,80790,RO,Norte
2021,11,menor_1_ano,18884,RO,Norte
2021,11,1_a_4_anos,82925,RO,Norte
2022,11,menor_1_ano,18937,RO,Norte
2022,11,1_a_4_anos,78224,RO,Norte
2023,11,menor_1_ano,17918,RO,Norte
2023,11,1_a_4_anos,71620,RO,Norte
2024,11,menor_1_ano,17178,RO,Norte
2024,11,1_a_4_anos,69254,RO,Norte
2014,12,menor_1_ano,15250,AC,Norte
2014,12,1_a_4_anos,62704,AC,Norte
2015,12,menor_1_ano,15175,AC,Norte
2015,12,1_a_4_anos,65007,AC,Norte
2016,12,menor_1_ano,14531,AC,Norte
2016,12,1_a_4_anos,57749,AC,Norte
2017,12,menor_1_ano,13950,AC,Norte
2017,12,1_a_4_anos,58001,AC,Norte
2018,12,menor_1_ano,13495,AC,Norte
2018,12,1_a_4_anos,56032,AC,Norte
2019,12,menor_1_ano,13078,AC,Norte
2019,12,1_a_4_anos,53412,AC,Norte
2020,12,menor_1_ano,12597,AC,Norte
2020,12,1_a_4_anos,54982,AC,Norte
2021,12,menor_1_ano,12259,AC,Norte
2021,12,1_a_4_anos,51530,AC,Norte
2022,12,menor_1_ano,11707,AC,Norte
2022,12,1_a_4_anos,46428,AC,Norte
2023,12,menor_1_ano,11184,AC,Norte
2023,12,1_a_4_anos,46878,AC,Norte
2024,12,menor_1_ano,10917,AC,Norte
2024,12,1_a_4_anos,44653,AC,Norte
2014,13,menor_1_ano,66775,AM,Norte
2014,13,1_a_4_anos,285369,AM,Norte
2015,13,menor_1_ano,66949,AM,Norte
2015,13,1_a_4_anos,282621,AM,Norte
2016,13,menor_1_ano,63515,AM,Norte
2016,13,1_a_4_anos,268579,AM,Norte
2017,13,menor_1_ano,60952,AM,Norte
2017,13,1_a_4_anos,247933,AM,Norte
2018,13,menor_1_ano,59430,AM,Norte
2018,13,1_a_4_anos,256075,AM,Norte
2019,13,menor_1_ano,57331,AM,Norte
2019,13,1_a_4_anos,245316,AM,Norte
2020,13,menor_1_ano,56496,AM,Norte
2020,13,1_a_4_anos,233607,AM,Norte
2021,13,menor_1_ano,55104,AM,Norte
2021,13,1_a_4_anos,222643,AM,Norte
2022,13,menor_1_ano,51034,AM,Norte
2022,13,1_a_4_anos,212979,AM,Norte
2023,13,menor_1_ano,48635,AM,Norte
2023,13,1_a_4_anos,202221,AM,Norte
2024,13,menor_1_ano,47559,AM,Norte
2024,13,1_a_4_anos,198778,AM,Norte
2014,14,menor_1_ano,11426,RR,Norte
2014,14,1_a_4_anos,46666,RR,Norte
2015,14,menor_1_ano,11625,RR,Norte
2015,14,1_a_4_anos,48532,RR,Norte
2016,14,menor_1_ano,10995,RR,Norte
2016,14,1_a_4_anos,46044,RR,Norte
2017,14,menor_1_ano,10791,RR,Norte
2017,14,1_a_4_anos,43757,RR,Norte
2018,14,menor_1_ano,10272,RR,Norte
2018,14,1_a_4_anos,44326,RR,Norte
2019,14,menor_1_ano,9901,RR,Norte
2019,14,1_a_4_anos,40789,RR,Norte
2020,14,menor_1_ano,9490,RR,Norte
2020,14,1_a_4_anos,37637,RR,Norte
2021,14,menor_1_ano,9108,RR,Norte
2021,14,1_a_4_anos,38744,RR,Norte
2022,14,menor_1_ano,8922,RR,Norte
2022,14,1_a_4_anos,36236,RR,Norte
2023,14,menor_1_ano,8435,RR,Norte
2023,14,1_a_4_anos,34409,RR,Norte
2024,14,menor_1_ano,8101,RR,Norte
2024,14,1_a_4_anos,35177,RR,Norte
2014,15,menor_1_ano,123516,PA,Norte
2014,15,1_a_4_anos,504812,PA,Norte
2015,15,menor_1_ano,120954,PA,Norte
2015,15,1_a_4_anos,487524,PA,Norte
2016,15,menor_1_ano,121679,PA,Norte
2016,15,1_a_4_anos,464810,PA,Norte
2017,15,menor_1_ano,113664,PA,Norte
2017,15,1_a_4_anos,455283,PA,Norte
2018,15,menor_1_ano,114106,PA,Norte
2018,15,1_a_4_anos,443261,PA,Norte
2019,15,menor_1_ano,107922,PA,Norte
2019,15,1_a_4_anos,432569,PA,Norte
2020,15,menor_1_ano,103986,PA,Norte
2020,15,1_a_4_anos,416032,PA,Norte
2021,15,menor_1_ano,99075,PA,Norte
