ano,uf_code,uf_sigla,regiao,faixa,internacoes
2014,11,RO,Norte,menor_1_ano,292
2014,11,RO,Norte,1_a_4_anos,738
2015,11,RO,Norte,menor_1_ano,327
2015,11,RO,Norte,1_a_4_anos,1000
2016,11,RO,Norte,menor_1_ano,430
2016,11,RO,Norte,1_a_4_anos,762
2017,11,RO,Norte,menor_1_ano,326
2017,11,RO,Norte,1_a_4_anos,1033
2018,11,RO,Norte,menor_1_ano,402
2018,11,RO,Norte,1_a_4_anos,864
2019,11,RO,Norte,menor_1_ano,288
2019,11,RO,Norte,1_a_4_anos,586
2020,11,RO,Norte,menor_1_ano,249
2020,11,RO,Norte,1_a_4_anos,773
2021,11,RO,Norte,menor_1_ano,222
2021,11,RO,Norte,1_a_4_anos,509
2022,11,RO,Norte,menor_1_ano,248
2022,11,RO,Norte,1_a_4_anos,540
2023,11,RO,Norte,menor_1_ano,297
2023,11,RO,Norte,1_a_4_anos,537
2024,11,RO,Norte,menor_1_ano,302
2024,11,RO,Norte,1_a_4_anos,719
2014,12,AC,Norte,menor_1_ano,166
2014,12,AC,Norte,1_a_4_anos,423
2015,12,AC,Norte,menor_1_ano,286
2015,12,AC,Norte,1_a_4_anos,683
2016,12,AC,Norte,menor_1_ano,214
2016,12,AC,Norte,1_a_4_anos,413
2017,12,AC,Norte,menor_1_ano,243
2017,12,AC,Norte,1_a_4_anos,449
2018,12,AC,Norte,menor_1_ano,192
2018,12,AC,Norte,1_a_4_anos,527
2019,12,AC,Norte,menor_1_ano,135
2019,12,AC,Norte,1_a_4_anos,546
2020,12,AC,Norte,menor_1_ano,147
2020,12,AC,Norte,1_a_4_anos,365
2021,12,AC,Norte,menor_1_ano,196
2021,12,AC,Norte,1_a_4_anos,427
2022,12,AC,Norte,menor_1_ano,207
2022,12,AC,Norte,1_a_4_anos,459
2023,12,AC,Norte,menor_1_ano,193
2023,12,AC,Norte,1_a_4_anos,357
2024,12,AC,Norte,menor_1_ano,160
2024,12,AC,Norte,1_a_4_anos,317
2014,13,AM,Norte,menor_1_ano,794
2014,13,AM,Norte,1_a_4_anos,2770
2015,13,AM,Norte,menor_1_ano,971
2015,13,AM,Norte,1_a_4_anos,2720
2016,13,AM,Norte,menor_1_ano,735
2016,13,AM,Norte,1_a_4_anos,2123
2017,13,AM,Norte,menor_1_ano,686
2017,13,AM,Norte,1_a_4_anos,1542
2018,13,AM,Norte,menor_1_ano,797
2018,13,AM,Norte,1_a_4_anos,1538
2019,13,AM,Norte,menor_1_ano,881
2019,13,AM,Norte,1_a_4_anos,1725
2020,13,AM,Norte,menor_1_ano,642
2020,13,AM,Norte,1_a_4_anos,1705
2021,13,AM,Norte,menor_1_ano,786
2021,13,AM,Norte,1_a_4_anos,2284
2022,13,AM,Norte,menor_1_ano,633
2022,13,AM,Norte,1_a_4_anos,1729
2023,13,AM,Norte,menor_1_ano,793
2023,13,AM,Norte,1_a_4_anos,1848
2024,13,AM,Norte,menor_1_ano,684
2024,13,AM,Norte,1_a_4_anos,1491
2014,14,RR,Norte,menor_1_ano,196
2014,14,RR,Norte,1_a_4_anos,496
2015,14,RR,Norte,menor_1_ano,200
2015,14,RR,Norte,1_a_4_anos,392
2016,14,RR,Norte,menor_1_ano,192
2016,14,RR,Norte,1_a_4_anos,277
2017,14,RR,Norte,menor_1_ano,167
2017,14,RR,Norte,1_a_4_anos,344
2018,14,RR,Norte,menor_1_ano,104
2018,14,RR,Norte,1_a_4_anos,282
2019,14,RR,Norte,menor_1_ano,152
2019,14,RR,Norte,1_a_4_anos,420
2020,14,RR,Norte,menor_1_ano,179
2020,14,RR,Norte,1_a_4_anos,288
2021,14,RR,Norte,menor_1_ano,108
2021,14,RR,Norte,1_a_4_anos,397
2022,14,RR,Norte,menor_1_ano,100
2022,14,RR,Norte,1_a_4_anos,276
2023,14,RR,Norte,menor_1_ano,92
2023,14,RR,Norte,1_a_4_anos,365
2024,14,RR,Norte,menor_1_ano,114
2024,14,RR,Norte,1_a_4_anos,371
2014,15,PA,Norte,menor_1_ano,1468
2014,15,PA,Norte,1_a_4_anos,4937
2015,15,PA,Norte,menor_1_ano,1303
2015,15,PA,Norte,1_a_4_anos,3193
2016,15,PA,Norte,menor_1_ano,2152
2016,15,PA,Norte,1_a_4_anos,3800
2017,15,PA,Norte,menor_1_ano,1763
2017,15,PA,Norte,1_a_4_anos,4257
2018,15,PA,Norte,menor_1_ano,1936
2018,15,PA,Norte,1_a_4_anos,3167
2019,15,PA,Norte,menor_1_ano,1601
2019,15,PA,Norte,1_a_4_anos,4052
2020,15,PA,Norte,menor_1_ano,1111
2020,15,PA,Norte,1_a_4_anos,3488
2021,15,PA,Norte,menor_1_ano,1411
2021,15,PA,Norte,1_a_4_anos,2545
2022,15,PA,Norte,menor_1_ano,1094
2022,15,PA,Norte,1_a_4_anos,4084
2023,15,PA,Norte,menor_1_ano,1072
2023,15,PA,Norte,1_a_4_anos,2996
2024,15,PA,Norte,menor_1_ano,1591
2024,15,PA,Norte,1_a_4_anos,3020
2014,16,AP,Norte,menor_1_ano,239
2014,16,AP,Norte,1_a_4_anos,472
2015,16,AP,Norte,menor_1_ano,139
2015,16,AP,Norte,1_a_4_anos,439
2016,16,AP,Norte,menor_1_ano,141
2016,16,AP,Norte,1_a_4_anos,573
2017,16,AP,Norte,menor_1_ano,207
2017,16,AP,Norte,1_a_4_anos,354
2018,16,AP,Norte,menor_1_ano,197
2018,16,AP,Norte,1_a_4_anos,417
2019,16,AP,Norte,menor_1_ano,122
2019,16,AP,Norte,1_a_4_anos,442
2020,16,AP,Norte,menor_1_ano,111
2020,16,AP,Norte,1_a_4_anos,486
2021,16,AP,Norte,menor_1_ano,163
2021,16,AP,Norte,1_a_4_anos,421
2022,16,AP,Norte,menor_1_ano,127
2022,16,AP,Norte,1_a_4_anos,474
2023,16,AP,Norte,menor_1_ano,161
2023,16,AP,Norte,1_a_4_anos,430
2024,16,AP,Norte,menor_1_ano,149
2024,16,AP,Norte,1_a_4_anos,397
2014,17,TO,Norte,menor_1_ano,289
2014,17,TO,Norte,1_a_4_anos,1029
2015,17,TO,Norte,menor_1_ano,299
2015,17,TO,Norte,1_a_4_anos,869
2016,17,TO,Norte,menor_1_ano,308
2016,17,TO,Norte,1_a_4_anos,977
2017,17,TO,Norte,menor_1_ano,322
2017,17,TO,Norte,1_a_4_anos,603
2018,17,TO,Norte,menor_1_ano,265
2018,17,TO,Norte,1_a_4_anos,773
2019,17,TO,Norte,menor_1_ano,366
2019,17,TO,Norte,1_a_4_anos,846
2020,17,TO,Norte,menor_1_ano,260
2020,17,TO,Norte,1_a_4_anos,561
2021,17,TO,Norte,menor_1_ano,227
2021,17,TO,Norte,1_a_4_anos,607
2022,17,TO,Norte,menor_1_ano,220
2022,17,TO,Norte,1_a_4_anos,606
2023,17,TO,Norte,menor_1_ano,202
2023,17,TO,Norte,1_a_4_anos,602
2024,17,TO,Norte,menor_1_ano,209
2024,17,TO,Norte,1_a_4_anos,538
2014,21,MA,Nordeste,menor_1_ano,1276
2014,21,MA,Nordeste,1_a_4_anos,2851
2015,21,MA,Nordeste,menor_1_ano,951
2015,21,MA,Nordeste,1_a_4_anos,3095
2016,21,MA,Nordeste,menor_1_ano,909
2016,21,MA,Nordeste,1_a_4_anos,2614
2017,21,MA,Nordeste,menor_1_ano,1399
2017,21,MA,Nordeste,1_a_4_anos,2819
