ano,uf_code,uf_sigla,regiao,faixa,obitos
2014,11,RO,Norte,menor_1_ano,9
2014,11,RO,Norte,1_a_4_anos,0
2015,11,RO,Norte,menor_1_ano,9
2015,11,RO,Norte,1_a_4_anos,1
2016,11,RO,Norte,menor_1_ano,10
2016,11,RO,Norte,1_a_4_anos,1
2017,11,RO,Norte,menor_1_ano,6
2017,11,RO,Norte,1_a_4_anos,1
2018,11,RO,Norte,menor_1_ano,4
2018,11,RO,Norte,1_a_4_anos,0
2019,11,RO,Norte,menor_1_ano,6
2019,11,RO,Norte,1_a_4_anos,1
2020,11,RO,Norte,menor_1_ano,7
2020,11,RO,Norte,1_a_4_anos,0
2021,11,RO,Norte,menor_1_ano,5
2021,11,RO,Norte,1_a_4_anos,1
2022,11,RO,Norte,menor_1_ano,4
2022,11,RO,Norte,1_a_4_anos,1
2023,11,RO,Norte,menor_1_ano,5
2023,11,RO,Norte,1_a_4_anos,0
2014,12,AC,Norte,menor_1_ano,5
2014,12,AC,Norte,1_a_4_anos,0
2015,12,AC,Norte,menor_1_ano,3
2015,12,AC,Norte,1_a_4_anos,0
2016,12,AC,Norte,menor_1_ano,3
2016,12,AC,Norte,1_a_4_anos,0
2017,12,AC,Norte,menor_1_ano,6
2017,12,AC,Norte,1_a_4_anos,0
2018,12,AC,Norte,menor_1_ano,4
2018,12,AC,Norte,1_a_4_anos,0
2019,12,AC,Norte,menor_1_ano,2
2019,12,AC,Norte,1_a_4_anos,0
2020,12,AC,Norte,menor_1_ano,4
2020,12,AC,Norte,1_a_4_anos,0
2021,12,AC,Norte,menor_1_ano,4
2021,12,AC,Norte,1_a_4_anos,0
2022,12,AC,Norte,menor_1_ano,4
2022,12,AC,Norte,1_a_4_anos,0
2023,12,AC,Norte,menor_1_ano,4
2023,12,AC,Norte,1_a_4_anos,0
2014,13,AM,Norte,menor_1_ano,28
2014,13,AM,Norte,1_a_4_anos,2
2015,13,AM,Norte,menor_1_ano,22
2015,13,AM,Norte,1_a_4_anos,3
2016,13,AM,Norte,menor_1_ano,9
2016,13,AM,Norte,1_a_4_anos,3
2017,13,AM,Norte,menor_1_ano,24
2017,13,AM,Norte,1_a_4_anos,1
2018,13,AM,Norte,menor_1_ano,20
2018,13,AM,Norte,1_a_4_anos,2
2019,13,AM,Norte,menor_1_ano,21
2019,13,AM,Norte,1_a_4_anos,3
2020,13,AM,Norte,menor_1_ano,11
2020,13,AM,Norte,1_a_4_anos,2
2021,13,AM,Norte,menor_1_ano,23
2021,13,AM,Norte,1_a_4_anos,3
2022,13,AM,Norte,menor_1_ano,18
2022,13,AM,Norte,1_a_4_anos,2
2023,13,AM,Norte,menor_1_ano,21
2023,13,AM,Norte,1_a_4_anos,1
2014,14,RR,Norte,menor_1_ano,3
2014,14,RR,Norte,1_a_4_anos,0
2015,14,RR,Norte,menor_1_ano,4
2015,14,RR,Norte,1_a_4_anos,0
2016,14,RR,Norte,menor_1_ano,5
2016,14,RR,Norte,1_a_4_anos,0
2017,14,RR,Norte,menor_1_ano,3
2017,14,RR,Norte,1_a_4_anos,0
2018,14,RR,Norte,menor_1_ano,4
2018,14,RR,Norte,1_a_4_anos,0
2019,14,RR,Norte,menor_1_ano,2
2019,14,RR,Norte,1_a_4_anos,0
2020,14,RR,Norte,menor_1_ano,3
2020,14,RR,Norte,1_a_4_anos,0
2021,14,RR,Norte,menor_1_ano,3
2021,14,RR,Norte,1_a_4_anos,0
2022,14,RR,Norte,menor_1_ano,1
2022,14,RR,Norte,1_a_4_anos,0
2023,14,RR,Norte,menor_1_ano,3
2023,14,RR,Norte,1_a_4_anos,0
2014,15,PA,Norte,menor_1_ano,40
2014,15,PA,Norte,1_a_4_anos,3
2015,15,PA,Norte,menor_1_ano,57
2015,15,PA,Norte,1_a_4_anos,5
2016,15,PA,Norte,menor_1_ano,48
2016,15,PA,Norte,1_a_4_anos,3
2017,15,PA,Norte,menor_1_ano,27
2017,15,PA,Norte,1_a_4_anos,4
2018,15,PA,Norte,menor_1_ano,30
2018,15,PA,Norte,1_a_4_anos,7
2019,15,PA,Norte,menor_1_ano,41
2019,15,PA,Norte,1_a_4_anos,5
2020,15,PA,Norte,menor_1_ano,17
2020,15,PA,Norte,1_a_4_anos,3
2021,15,PA,Norte,menor_1_ano,17
2021,15,PA,Norte,1_a_4_anos,6
2022,15,PA,Norte,menor_1_ano,31
2022,15,PA,Norte,1_a_4_anos,5
2023,15,PA,Norte,menor_1_ano,20
2023,15,PA,Norte,1_a_4_anos,3
2014,16,AP,Norte,menor_1_ano,4
2014,16,AP,Norte,1_a_4_anos,0
2015,16,AP,Norte,menor_1_ano,3
2015,16,AP,Norte,1_a_4_anos,0
2016,16,AP,Norte,menor_1_ano,4
2016,16,AP,Norte,1_a_4_anos,0
2017,16,AP,Norte,menor_1_ano,4
2017,16,AP,Norte,1_a_4_anos,0
2018,16,AP,Norte,menor_1_ano,5
2018,16,AP,Norte,1_a_4_anos,0
2019,16,AP,Norte,menor_1_ano,4
2019,16,AP,Norte,1_a_4_anos,0
2020,16,AP,Norte,menor_1_ano,4
2020,16,AP,Norte,1_a_4_anos,0
2021,16,AP,Norte,menor_1_ano,2
2021,16,AP,Norte,1_a_4_anos,0
2022,16,AP,Norte,menor_1_ano,4
2022,16,AP,Norte,1_a_4_anos,0
2023,16,AP,Norte,menor_1_ano,1
2023,16,AP,Norte,1_a_4_anos,0
2014,17,TO,Norte,menor_1_ano,7
2014,17,TO,Norte,1_a_4_anos,0
2015,17,TO,Norte,menor_1_ano,4
2015,17,TO,Norte,1_a_4_anos,0
2016,17,TO,Norte,menor_1_ano,7
2016,17,TO,Norte,1_a_4_anos,0
2017,17,TO,Norte,menor_1_ano,6
2017,17,TO,Norte,1_a_4_anos,1
2018,17,TO,Norte,menor_1_ano,3
2018,17,TO,Norte,1_a_4_anos,1
2019,17,TO,Norte,menor_1_ano,4
2019,17,TO,Norte,1_a_4_anos,0
2020,17,TO,Norte,menor_1_ano,3
2020,17,TO,Norte,1_a_4_anos,0
2021,17,TO,Norte,menor_1_ano,6
2021,17,TO,Norte,1_a_4_anos,0
2022,17,TO,Norte,menor_1_ano,6
2022,17,TO,Norte,1_a_4_anos,1
2023,17,TO,Norte,menor_1_ano,5
2023,17,TO,Norte,1_a_4_anos,0
2014,21,MA,Nordeste,menor_1_ano,35
2014,21,MA,Nordeste,1_a_4_anos,2
2015,21,MA,Nordeste,menor_1_ano,32
2015,21,MA,Nordeste,1_a_4_anos,2
2016,21,MA,Nordeste,menor_1_ano,18
2016,21,MA,Nordeste,1_a_4_anos,2
2017,21,MA,Nordeste,menor_1_ano,29
2017,21,MA,Nordeste,1_a_4_anos,4
2018,21,MA,Nordeste,menor_1_ano,31
2018,21,MA,Nordeste,1_a_4_anos,5
2019,21,MA,Nordeste,menor_1_ano,18
2019,21,MA,Nordeste,1_a_4_anos,2
2020,21,MA,Nordeste,menor_1_ano,26
2020,21,MA,Nordeste,1_a_4_anos,4
2021,21,MA,Nordeste,menor_1_ano,21
2021,21,MA,Nordeste,1_a_4_anos,3
2022,21,MA,Nordeste,menor_1_ano,18
2022,21,MA,Nordeste,1_a_4_anos,3
2023,21,MA,Nordeste,menor_1_ano,18
2023,21,MA,Nordeste,1_a_4_anos,4
2014,22,PI,Nordeste,menor_1_ano,11
2014,22,PI,Nordeste,1_a_4_anos,1
2015,22,PI,Nordeste,menor_1_ano,9
2015,22,PI,Nordeste,1_a_4_anos,2
2016,22,PI,Nordeste,menor_1_ano,13
2016,22,PI,Nordeste,1_a_4_anos,0
2017,22,PI,Nordeste,menor_1_ano,13
2017,22,PI,Nordeste,1_a_4_anos,1
2018,22,PI,Nordeste,menor_1_ano,5
2018,22,PI,Nordeste,1_a_4_anos,1
2019,22,PI,Nordeste,menor_1_ano,5
2019,22,PI,Nordeste,1_a_4_anos,2
2020,22,PI,Nordeste,menor_1_ano,8
2020,22,PI,Nordeste,1_a_4_anos,1
2021,22,PI,Nordeste,menor_1_ano,10
2021,22,PI,Nordeste,1_a_4_anos,1
2022,22,PI,Nordeste,menor_1_ano,11
2022,22,PI,Nordeste,1_a_4_anos,0
2023,22,PI,Nordeste,menor_1_ano,7
2023,22,PI,Nordeste,1_a_4_anos,1
2014,23,CE,Nordeste,menor_1_ano,20
2014,23,CE,Nordeste,1_a_4_anos,6
2015,23,CE,Nordeste,menor_1_ano,33
2015,23,CE,Nordeste,1_a_4_anos,3
2016,23,CE,Nordeste,menor_1_ano,18
2016,23,CE,Nordeste,1_a_4_anos,4
2017,23,CE,Nordeste,menor_1_ano,30
2017,23,CE,Nordeste,1_a_4_anos,5
2018,23,CE,Nordeste,menor_1_ano,19
2018,23,CE,Nordeste,1_a_4_anos,5
2019,23,CE,Nordeste,menor_1_ano,20
2019,23,CE,Nordeste,1_a_4_anos,4
2020,23,CE,Nordeste,menor_1_ano,20
2020,23,CE,Nordeste,1_a_4_anos,2
2021,23,CE,Nordeste,menor_1_ano,17
2021,23,CE,Nordeste,1_a_4_anos,3
2022,23,CE,Nordeste,menor_1_ano,27
2022,23,CE,Nordeste,1_a_4_anos,3
2023,23,CE,Nordeste,menor_1_ano,12
2023,23,CE,Nordeste,1_a_4_anos,3
2014,24,RN,Nordeste,menor_1_ano,9
2014,24,RN,Nordeste,1_a_4_anos,1
2015,24,RN,Nordeste,menor_1_ano,8
2015,24,RN,Nordeste,1_a_4_anos,1
2016,24,RN,Nordeste,menor_1_ano,12
2016,24,RN,Nordeste,1_a_4_anos,1
2017,24,RN,Nordeste,menor_1_ano,10
2017,24,RN,Nordeste,1_a_4_anos,0
2018,24,RN,Nordeste,menor_1_ano,8
2018,24,RN,Nordeste,1_a_4_anos,0
2019,24,RN,Nordeste,menor_1_ano,6
2019,24,RN,Nordeste,1_a_4_anos,1
2020,24,RN,Nordeste,menor_1_ano,5
2020,24,RN,Nordeste,1_a_4_anos,0
2021,24,RN,Nordeste,menor_1_ano,6
2021,24,RN,Nordeste,1_a_4_anos,1
2022,24,RN,Nordeste,menor_1_ano,8
2022,24,RN,Nordeste,1_a_4_anos,1
2023,24,RN,Nordeste,menor_1_ano,9
2023,24,RN,Nordeste,1_a_4_anos,1
