ano,uf_code,uf_sigla,regiao,nascidos_vivos
2014,11,RO,Norte,24321
2015,11,RO,Norte,23987
2016,11,RO,Norte,23653
2017,11,RO,Norte,23137
2018,11,RO,Norte,22256
2019,11,RO,Norte,21994
2020,11,RO,Norte,21147
2021,11,RO,Norte,19104
2022,11,RO,Norte,19838
2023,11,RO,Norte,18490
2014,12,AC,Norte,16434
2015,12,AC,Norte,15947
2016,12,AC,Norte,14336
2017,12,AC,Norte,15085
2018,12,AC,Norte,14368
2019,12,AC,Norte,13171
2020,12,AC,Norte,13041
2021,12,AC,Norte,12719
2022,12,AC,Norte,12744
2023,12,AC,Norte,11859
2014,13,AM,Norte,68251
2015,13,AM,Norte,67269
2016,13,AM,Norte,64144
2017,13,AM,Norte,61928
2018,13,AM,Norte,59719
2019,13,AM,Norte,56791
2020,13,AM,Norte,55209
2021,13,AM,Norte,53240
2022,13,AM,Norte,50866
2023,13,AM,Norte,49179
2014,14,RR,Norte,11668
2015,14,RR,Norte,11597
2016,14,RR,Norte,11657
2017,14,RR,Norte,11084
2018,14,RR,Norte,10422
2019,14,RR,Norte,9899
2020,14,RR,Norte,9867
2021,14,RR,Norte,9114
2022,14,RR,Norte,9230
2023,14,RR,Norte,8848
2014,15,PA,Norte,127705
2015,15,PA,Norte,131408
2016,15,PA,Norte,120512
2017,15,PA,Norte,114881
2018,15,PA,Norte,111016
2019,15,PA,Norte,106728
2020,15,PA,Norte,108776
2021,15,PA,Norte,99968
2022,15,PA,Norte,96173
2023,15,PA,Norte,98955
2014,16,AP,Norte,13671
2015,16,AP,Norte,13918
2016,16,AP,Norte,13769
2017,16,AP,Norte,13011
2018,16,AP,Norte,12462
2019,16,AP,Norte,11616
2020,16,AP,Norte,10921
2021,16,AP,Norte,10541
2022,16,AP,Norte,10968
2023,16,AP,Norte,10230
2014,17,TO,Norte,23050
2015,17,TO,Norte,24231
2016,17,TO,Norte,22926
2017,17,TO,Norte,21241
2018,17,TO,Norte,21114
2019,17,TO,Norte,20895
2020,17,TO,Norte,20263
2021,17,TO,Norte,18046
2022,17,TO,Norte,17446
2023,17,TO,Norte,17599
